name,latitude,longitude,natural,species:en,species,genus,wikipedia,source
IMG_0615.JPG,33.32591944,-118.3403333,succulent plant,Agave,Agave filifera,Agave,en:Agave filifera,local verification
IMG_0643.JPG,33.32585833,-118.3406222,succulent plant,Agave,Agave filifera,Agave,en:Agave filifera,local verification
IMG_0653.JPG,33.32579722,-118.3405833,succulent plant,Agave,Agave filifera,Agave,en:Agave filifera,local verification
IMG_0652.JPG,33.32593611,-118.3405611,succulent plant,Aloe,Aloe petricola,Aloe,en:Aloe petricola,local verification
IMG_0646.JPG,33.32595556,-118.3403472,succulent plant,Aloe,Aloe marlothii,Aloe,en:Aloe marlothii,local verification
IMG_0648.JPG,33.32604167,-118.3403944,flowering plant,Bear Grass,Dasylirion longissimum,Dasylirion,en:Dasylirion longissimum,local verification
IMG_0616.JPG,33.325925,-118.3403028,succulent plant,Black Aeonium,Aeonium arboreum 'Schwarzkopf',Aeonium,en:Aeonium arboreum 'Schwarzkopf',local verification
IMG_0636.JPG,33.32566944,-118.3407528,cactus,Bunny Ears,Opuntia microdasys,Opuntia,en:Opuntia microdasys,local verification
IMG_0628.JPG,33.32548889,-118.3408056,tree,Canary Island Date Palm,Phoenix canariensis,Phoenix,en:Phoenix canariensis,local verification
IMG_0606.JPG,33.32640556,-118.3403083,tree,Catalina Island Ironwood,Lyonothamnus floribundus,Lyonothamnus,en:Lyonothamnus floribundus,local verification
IMG_0632.JPG,33.32535278,-118.3410028,tree,Catalina Island Ironwood,Lyonothamnus floribundus,Lyonothamnus,en:Lyonothamnus floribundus,local verification
IMG_0627.JPG,33.325625,-118.3407361,succulent plant,Catalina Island Live-Forever,Dudleya virens,Dudleya,en:Dudleya virens,local verification
IMG_0618.JPG,33.32583889,-118.3403556,flowering plant,Century Plant,Agave americana,Agave,en:Agave americana,local verification
IMG_0639.JPG,33.325775,-118.3407361,cactus,Cholla,Countia prolifera,Countia,en:Countia prolifera,local verification
IMG_0621.JPG,33.32580556,-118.3404833,succulent plant,Climbing Aloe,Aloe ciliaris,Aloe,en:Aloe ciliaris,local verification
IMG_0634.JPG,33.32554722,-118.3408194,shrub,Crown of Thorns,Colletia spinosissima,Colletia,en:Colletia spinosissima,local verification
IMG_0625.JPG,33.32571667,-118.3406361,tree,Dragon Tree,Dracaena draco,Dracaena,en:Dracaena draco,local verification
IMG_0641.JPG,33.32577222,-118.3406833,tree,Dragon Tree,Dracaena draco,Dracaena,en:Dracaena draco,local verification
IMG_0649.JPG,33.32600278,-118.3404472,tree,Dragon Tree,Dracaena draco,Dracaena,en:Dracaena draco,local verification
IMG_0642.JPG,33.32584722,-118.3406306,succulent plant,Elephant Bush,Portulacaria afra,Portulacaria,en:Portulacaria afra,local verification
IMG_0647.JPG,33.32598611,-118.3403472,succulent plant,Elephant Bush,Portulacaria afra,Portulacaria,en:Portulacaria afra,local verification
IMG_0654.JPG,33.32580833,-118.3405917,succulent plant,Elephant Bush,Portulacaria afra,Portulacaria,en:Portulacaria afra,local verification
IMG_0624.JPG,33.32575278,-118.3406139,tree,Elephant-foot Tree,Nolina recurvata,Nolina,en:Nolina recurvata,local verification
IMG_0611.JPG,33.32619167,-118.3404694,flowering plant,Giant Bird of Paradise,Strelitzia nicolai,Strelitzia,en:Strelitzia nicolai,local verification
IMG_0614.JPG,33.32595833,-118.3403028,cactus,Golden Cereus,Bergerocactus emoryi,Bergerocactus,en:Bergerocactus emoryi,local verification
IMG_0656.JPG,33.32594722,-118.3406139,succulent plant,Hidden Foot,Aloe cryptopoda,Aloe,,local verification
IMG_0612.JPG,33.32613889,-118.3404833,tree,Island Mountain Mahogany,Cercocarpus betuloides,Cercocarpus,en:Cercocarpus betuloides,local verification
IMG_0633.JPG,33.325425,-118.3408361,tree,Island Mountain Mahogany,Cercocarpus betuloides,Cercocarpus,en:Cercocarpus betuloides,local verification
IMG_0608.JPG,33.32630833,-118.3402639,tree,Island Scrub Oak,Quercus pacifica,Quercus,en:Quercus pacifica,local verification
IMG_0619.JPG,33.32583889,-118.3403556,tree,Island Scrub Oak,Quercus pacifica,Quercus,en:Quercus pacifica,local verification
IMG_0622.JPG,33.32577778,-118.3405,tree,Island Scrub Oak,Quercus pacifica,Quercus,en:Quercus pacifica,local verification
IMG_0631.JPG,33.32528333,-118.3409417,shrub,Island Tree Poppy,Dendromecon rigida,Dendromecon,en:Dendromecon rigida,local verification
IMG_0620.JPG,33.32580278,-118.3404167,shrub,Lemonade Berry,Rhus integrifolia,Rhus,en:Rhus integrifolia,local verification
IMG_0609.JPG,33.32621389,-118.3404528,tree,Mediterranean Fan Palm,Chamaerops humilis,Chamaerops,en:Chamaerops humilis,local verification
IMG_0617.JPG,33.32588333,-118.3403389,tree,Miniature Pine Tree,Crassula tetragona,Crassula,en:Crassula tetragona,local verification
IMG_0644.JPG,33.32580833,-118.3404389,succulent plant,Rainbow Bush,Portulacaria afra 'Variegata',Portulacaria,en:Portulacaria afra 'Variegata',local verification
IMG_0610.JPG,33.32622222,-118.3404306,succulent plant,Red Hot Poker,Aloe arborescens,Aloe,en:Aloe arborescens,local verification
IMG_0623.JPG,33.32580278,-118.3405528,succulent plant,Red Hot Poker,Aloe arborescens,Aloe,en:Aloe arborescens,local verification
IMG_0645.JPG,33.32590833,-118.3403778,succulent plant,Red Hot Poker,Aloe arborescens,Aloe,en:Aloe arborescens,local verification
IMG_0658.JPG,33.32600278,-118.3405222,succulent plant,Red Hot Poker,Aloe arborescens,Aloe,en:Aloe arborescens,local verification
IMG_0650.JPG,33.32610278,-118.3405139,flowering plant,Sotol,Dasylirion wheeleri,Dasylirion,en:Dasylirion wheeleri,local verification
IMG_0651.JPG,33.32600833,-118.3405083,flowering plant,Sotol,Dasylirion wheeleri,Dasylirion,en:Dasylirion wheeleri,local verification
IMG_0626.JPG,33.32568056,-118.3406611,flowering plant,Spurge,Euphorbia lambii,Euphorbia,en:Euphorbia lambii,local verification
IMG_0635.JPG,33.32559167,-118.340775,succulent plant,Texas Aloe,Hesperaloe parviflora,Hesperaloe,en:Hesperaloe parviflora,local verification
IMG_0659.JPG,33.32606944,-118.3405222,succulent plant,Texas Aloe,Hesperaloe parviflora,Hesperaloe,en:Hesperaloe parviflora,local verification
IMG_0607.JPG,33.32634722,-118.3402417,shrub,Toyon,Heteromeles arbutifolia,Heteromeles,en:Heteromeles arbutifolia,local verification
IMG_0630.JPG,33.32529722,-118.3409417,shrub,Toyon,Heteromeles arbutifolia,Heteromeles,en:Heteromeles arbutifolia,local verification
IMG_0655.JPG,33.32585278,-118.3406139,shrub,Toyon,Heteromeles arbutifolia,Heteromeles,en:Heteromeles arbutifolia,local verification